	t	AveExpr	lods	logFC	CI.L	CI.R	adj.P.Val	P.Value
MICALL1	-7.791416643425678	5.032143184777628	13.121354856097383	-1.7615569626284797	-2.2154953388696255	-1.307618586387334	5.54473998106149e-08	3.1636654546597093e-10
AR	7.7816671664118395	3.80448826760564	13.174234827831233	5.996953725288961	4.449653162607047	7.544254287970875	5.659245894157952e-08	3.276813009081052e-10
CCDC125	7.779965174728813	4.851112555766416	13.09601771362235	1.9506911609012696	1.447274597803767	2.454107723998772	5.659245894157952e-08	3.2969780884884167e-10
NUBPL	7.772868016519528	3.920001627040641	13.116265576693523	1.3728982305695876	1.0182696864741496	1.7275267746650256	5.746657079052569e-08	3.3824167792621726e-10
ANP32E	-7.746947049191064	6.226163865157146	12.915839185459845	-1.8613114374308894	-2.3437089899384267	-1.378913884923352	6.245929386025883e-08	3.7137958511505253e-10
RPH3AL	7.743840207980718	2.9483047428417724	13.042175158636844	2.6523841684200704	1.9646878784065895	3.340080458433551	6.253144386331444e-08	3.755642274072939e-10
KIAA1370	7.710136898321328	6.268931646147535	12.796949213907562	2.528878044869572	1.870337628461495	3.1874184612776486	6.991655227857654e-08	4.2411842523340725e-10
CEBPB	-7.696692348331943	5.542755821824619	12.761935363220324	-2.061053743281825	-2.5987064374018596	-1.5234010491617902	7.230041079655166e-08	4.4520264612108406e-10
CACNA2D2	7.69347416087456	3.387964020293934	12.86473929765854	4.172378305655107	3.0835038332001776	5.261252778110036	7.230041079655166e-08	4.504036877316808e-10
ZG16B	7.692735425561357	5.56187448449286	12.781599984210615	3.519947393029196	2.601250994295116	4.438643791763276	7.230041079655166e-08	4.516061695400224e-10
RARRES1	-7.688900624354395	4.114959661508423	12.819364508813551	-4.003277247431336	-5.048642493633436	-2.957912001229235	7.260990086357465e-08	4.5790027571623654e-10
PHGDH	-7.671715565591516	5.380416872748001	12.6917818380169	-3.3245703097603814	-4.194651272852185	-2.4544893466685775	7.652805730720959e-08	4.87205650123977e-10
KCNK15	7.666196609026751	2.189604973428562	12.75138695698429	4.53469563835505	3.3470556081205074	5.722335668589592	7.733860018481088e-08	4.970108240104963e-10
POU4F1	-7.6603671624321485	-4.417777283611261	11.759487944496062	-5.30187844017582	-6.691500876498713	-3.9122560038529266	7.825235132831313e-08	5.075828194268959e-10
C5orf36	7.656433225202551	1.8665523080275563	12.709231568686148	2.123624292251847	1.566736339753293	2.6805122447504015	7.856424762451293e-08	5.148444843035488e-10
AMY1A	-7.65418400840758	-2.5384226999496002	12.18259432715806	-6.401619483105671	-8.080839468780933	-4.722399497430409	7.856424762451293e-08	5.190430773991845e-10
GFRA1	7.635762516016255	7.183187469632201	12.593445966355148	6.087771753713314	4.487025162101284	7.688518345325344	8.32124199224441e-08	5.547494661496274e-10
P4HTM	7.6112331124009085	5.224124945325285	12.4756507438799	1.8955474147505855	1.395517178974285	2.395577650526886	9.001635621186033e-08	6.061514948426035e-10
CELSR1	7.609063526203064	7.612691530160596	12.421273992999103	2.365738042434498	1.741497342392838	2.989978742476158	9.001635621186033e-08	6.109218169333464e-10
ADCY9	7.592566587528885	5.660955735553316	12.389974851870862	1.9984406552607386	1.4699719383717516	2.5269093721497256	9.470754878410183e-08	6.484480817650215e-10
RUNDC1	7.567857221132698	5.7495483722817164	12.292400909476909	1.531415574264022	1.1251249814467035	1.9377061670813407	1.0265480637609982e-07	7.090271911862751e-10
TMBIM6	7.563592011417476	10.25685352992205	12.288353941179274	1.0779668263196331	0.791816702147131	1.3641169504921353	1.0335123163800232e-07	7.200446168173134e-10
KDM4B	7.560610971936354	7.108625000357822	12.243958234570163	1.893891807657794	1.3909532748966305	2.3968303404189575	1.0357818952650491e-07	7.278467372132777e-10
DYNLRB2	7.556437161683796	-0.26280815159988824	12.136831775935303	3.7962558562194952	2.787572076963272	4.804939635475718	1.0395594408645104e-07	7.389133631107256e-10
LDHB	-7.554889637967631	6.853489652836503	12.22489850746701	-2.625748430140886	-3.3235655616003803	-1.9279312986813921	1.0395594408645104e-07	7.430593012744077e-10
CLSTN2	7.552601565892851	5.208139858196449	12.315703753379589	4.473658369850102	3.284381755384999	5.662934984315205	1.0395594408645104e-07	7.492320294518994e-10
